tissue,stressor,module,feature_name,feature_type,mean_score,median_score,sign_concordance,n_contrasts,n_panel_genes,n_measured,label,evidence_tier,source,anchor_note,light_dependent_rewiring
whole_seedling,GCR,GA metabolism,Diterpenoid biosynthesis (GA biosynthesis),pathway_score,-0.219,-0.219,1.0,2.0,25.0,17.0,modestly_suppressed,T1,pathway_scores_all.csv,-0.294@80cGy,False
whole_seedling,GCR,DNA repair,Fanconi anemia pathway,pathway_score,0.0239,0.0239,1.0,2.0,46.0,44.0,modestly_activated,T1,pathway_scores_all.csv,+0.028@80cGy,False
whole_seedling,GCR,GA metabolism,GA_biosynthesis,pathway_score,-0.0481,-0.0481,0.5,2.0,17.0,11.0,rewired,T1,pathway_scores_all.csv,-0.109@80cGy,False
whole_seedling,GCR,GA metabolism,GA_core_NMF,pathway_score,,,0.0,2.0,3.0,2.0,no_coverage,T1,pathway_scores_all.csv,,False
whole_seedling,GCR,GA metabolism,GA_signaling,pathway_score,0.0147,0.0147,1.0,2.0,10.0,10.0,modestly_activated,T1,pathway_scores_all.csv,+0.029@40cGy,False
whole_seedling,GCR,Secondary metabolism,Glucosinolate biosynthesis,pathway_score,-0.4468,-0.4468,1.0,2.0,26.0,23.0,suppressed,T1,pathway_scores_all.csv,-0.490@40cGy,False
whole_seedling,GCR,Photorespiration,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),pathway_score,-0.0097,-0.0097,0.5,2.0,80.0,77.0,rewired,T1,pathway_scores_all.csv,-0.037@80cGy,False
whole_seedling,GCR,Gravitropism,Gravitropism,pathway_score,-0.0495,-0.0495,1.0,2.0,9.0,8.0,modestly_suppressed,T1,pathway_scores_all.csv,-0.059@80cGy,False
whole_seedling,GCR,DNA repair,Homologous recombination,pathway_score,-0.0077,-0.0077,0.5,2.0,60.0,57.0,rewired,T1,pathway_scores_all.csv,-0.035@40cGy,False
whole_seedling,GCR,Hormone transport,Hormone_transporters_ABCG,pathway_score,-0.2118,-0.2118,1.0,2.0,5.0,5.0,modestly_suppressed,T1,pathway_scores_all.csv,-0.295@40cGy,False
